Index;Keys;Value
24;63KI96,40JM34,14DJ32,92MC16,91MD34,30GN55,59YW93,37AU11,46HF91,39JZ24,57SK39,91KF89,38XQ57,42QO33,33AG28;241
25;10QD58,90SA88,15EV84,48SI50,92ZC87,44KI25,64OI38,92HT51,87JI65,15GL91,17XK84,24TI82,22WL15,21TB19,33FU57,46SX93,80LQ26,53BN83;703
26;90KO47,34NA13,99PI85,31XA61,44VF82,41JL18,36OL46,73VB57,95KT74,61BL23,98VV14,89SI10,99DV84,27YT57,66DT64,73HY49,85RR89,42MV14,76SF44,80WN83,41NE39;834
27;18RN33,26TG48,21KZ34,79NT25,30AR23,46BW66,49OG75,50CO22,58ZN59,73UT51,83UH16,78LJ91,24JL90,44EE54,43TQ94,60BM42,17MA23,62WE56,84NM80,59BZ32,41MW33;939
28;34KU63,13NH48,24KB36,65VL58,50AY16,51NK61,48UL67,11JQ63,54HD34,93FP22,60PC58,67WJ84,77RO83,79CB25,95YE22,15HB39,55SM79,47UU23;267
29;98CB98,21KZ36,85SZ92,11PH30,67JB77,49RR91,82OE63,59RF56,18AE68,38FM81,96OG11,28VZ83,38JN40,19FE71,81OS88,42SE45;826
30;65RF32,94BA40,35MJ54,56GL55,30ZE97,27IS94,49OO16,92NC84,79WN70,21IO85,97ZP57,15MC62,12NI68,22GK53,75IR10,24XJ46,53WX14,75UR18,25HH61,18FF90,83KC87;470
31;39KZ93,88CV73,84ZH23,74FH15,61MI84,41KT23,22KL13,32SQ82,29AJ72,58JU34,50KA68,82QP17,96GM33,74ER70,24HV87,41UD10,91VS28;653
32;82MO59,79HC50,88YF69,56TT65,27WD42,80MY33,43GQ29,84EF36,28AK91,51NK65,36AI30,71RS16,86UW22,40IJ90,14XV83,70RL96,59HI65,89EK63,87XY80,94WH99;705
33;50CO28,28XP94,31RE33,92AC17,81SG44,70PI83,80SH62,71TI24,63AT49,15ZS11,72JC74,23OD18,76CZ29,97VJ32,88ZN70,44VA20,97ZC53,96EW28,88MF62;870
34;12HM37,93UN43,67OK41,93RC29,46HA32,17LK85,83IH15,62KE55,46SS33,17NV37,18BM73,86GY71,21TT83,75WH29,48KO79,90RN21,15GT38,10TJ12,14ER42,41VY20,37PK98,31YV76,22NO92;934
35;21GT14,65NE78,72YA91,90BZ62,24AE49,45UW66,53BI24,92WZ14,69ED74,52UV23,89SI19,56ZK34,44CB48,28BA39,86ST11,43NH60,78PK58,30VT19,45PI38,95IQ69,30LO87,30JT11;849
36;11WL72,83AA30,70DV85,81XU75,41VY22,98BT98,32SY25,91TC12,11BJ84,99NA12,32IT93,61MD20,41CM41,41QC56,48CH94,23NV14,51PI14,48OC33,51VE49,64PQ49,44SU71,32YH53,67DF49,13MZ49;356
37;23TE43,84JG62,96NQ74,10UW84,12QT89,31FJ98,67BC36,56PN42,86QI61,90DP71,80WI25,63DR60,73CP80,95AJ84,66KS41,68RU40,19ZY60;226
38;14XI82,86GY75,23BN70,34OI25,11OR94,80OO46,93KQ53,77FO85,88LX60,80WA88,77VC45,81SG49,99DD20,53MF83,73BC12,30BR96;177
39;81RY43,54KO59,35ZE64,75GG67,70DV88,70CI19,72SE60,82PU11,16PM67,90LJ53,21VJ95,11KY74,96PG83,53WK16,65LB68,10NF44,68PJ90,91FE62;523
40;34AK74,50FM42,46XT60,41GF66,17UM71,11YB83,79UK66,88PQ83,98LL27,95VT13,61KA10,12OD71,70PD21,88AS68,34JZ61,89LW44,22DZ42,51DA72,10ST73,26YC13,53WK17,24RA14,38HK37;772
41;72KX89,64NA33,68AT15,54XW69,82BW60,90NM69,37NP29,82RX27,85FM27,35EC78,46ZW75,78SI71,35NR65,71IV93,30QX52,33RU60,54AE60,47AN41,64QY54,78YM44,37YM85;941
42;28IM19,58JH38,17FO58,73AZ78,27MG58,58YF53,20ER25,33XQ96,52VV92,23OV82,38FH25,52YB44,88TR44,61VK75,63SP80,73KJ65,36JX27,75HO70;307
43;22XG26,97SY21,31EO90,58BA52,82JQ42,58JH39,21RQ78,70FG30,37FI44,42WX73,42LF72,72KK84,60KB31,20XI62,46RP90,61IC68,52SK79,33MG34,42VC66,70YS11,45WU19;175
44;42BV86,49FE91,53YA28,51MP63,82RK23,68XD75,64YF30,18WB64,77SR30,99YF14,11BE23,80OB45,11XT80,84WB70,69PI77,43RI28;332
45;24DC66,50BL88,66IP35,34PI94,88ZI13,83WP96,96WS62,48JT76,44KN93;729
46;61XI24,52UI27,67LZ32,40SB29,29UQ61,29DH94,64NA38,25UC78,83UM83,96RE35,67XE95,51GL92,65CZ88,79MD85,41XO39,41WY94,32ZP63,47IH26,58GW21,40RL84,26VW67,43GV91,27XL56,69DI71,88TE41,79CG91;807
47;87NW32,61ND93,32IO35,58IE91,82EC18,15ZF18,58EY77,18WB67,71QC72,83WC91,97OX66,17JC15,61LV24;183
48;67TT14,13XR48,55UP92,44QE62,52GK76,74HX32,94RO11,43GV93,28JU25,31MQ13,55QW71,12IH44,95NE96,67GD68,69ST95,11AW20,84CU93,23QL95,57KQ62;660
49;85OO15,47CD56,53LX87,21RD77,14JS78,84LE19,98OJ43,52VV99,99VZ67,56BX39,69HJ33,73GD44,25JX80,63UF94,71IQ32,89FN11,16DM69,56PA47,18OH89,47GE15,96UP52,78MM44;976
50;32GL24,42LF79,19MD58,96LA66,71SA20,10SO14,12TZ47,18KB62,45GG52,63SC81,96QW32,56KR82,97UG97,73VB60,68MY80,65GN44,90FN29,15CA19,26XU16,89DC60;350
51;57GX44,70KU66,72AV36,34PQ38,40YX62,82QU85,53NN96,65AR10,59PP50,84ZZ98,73ZP27,76OR96,39ED64,31ZQ86,61HU69,41YW44,26HT50,47VP39,99GO47,78ES66,65MR18,10QD63;226
52;82PH17,47TE88,98OJ46,90ZZ74,24GA80,80HX11,64EL50,44CO51,62MU73,21FY17,61RE57,61LA84,73DX95,51RQ92,69WH51,94FT76,53XS29,12PL83,90OH73;655
53;45GG55,63QM77,47RB75,35FF21,63GP83,81YP85,86CF55,18KB65,80JF81,51MC65,78AZ47,53TE64,96FE34,28NA44,84WB79,69UR45,54YR74,32TT35;147
54;30IY16,47HM20,76WL79,65XW15,90QF20,28TE18,46FX31,42FJ48,23QG32,28SW11,39TO89,75KZ96,72TM75,60LW49,90DK19,86VR37,39NS54,64KH87;461
55;21WZ49,24PP70,34HJ55,81OS93,90QF21,58MF58,69QD81,54RA34,57VV63,54DP88,73XE79,64KH88,58TR31,17AS98,25NY45,13WW41,13JO33,52PM63;429
56;63MG52,47UM92,77IU48,54WO63,62BC76,73PF31,36SM14,26AC13,93BO70,67WW98,50OO38,22AT92,84ZU34;177
57;64IE76,79AL26,91AQ45,70ZF80,20BL74,91JX94,74LD55,84AZ26,96YD12,36MI42,96BD79,32TG32,61KS82,38CJ12,63OJ67,95UQ78,70YF18,85NY78,81JE67;558
58;76GS54,85BY71,24XJ53,38XD63,40JM47,78CP59,86RD75,15HB48,87RC57,24KB45,72LS99,21SL86,16GS23,11VD73,90OH79,26HT57,15BF13,41HI15;152
59;96QJ34,87WY24,84RN50,31ZD87,80SU74,86TB21,49MQ79,66FJ83,68WQ14,50ZL97,22YB35,82OR79,38HX42,31NQ86,11VD74,66XA57,13LE44,57CR24,79BL90,19DW11,53JP14,59BZ43,44OB59,24VG40;173
60;88SW48,74QZ24,96QJ35,22KD83,69EY23,14SU69,25LV36,91IK28,49VS60,17VH84,24HV95,49YL19,59PC52,46DM85,48OP43,23XK73,57PR95,96OT28,71TV37,26NC87,51OA17;517
61;30IL16,90AE60,30TV79,13SV88,37KE14,17JU84,29XW21,70SB49,22OE43,10VE94,50CO35,37EA41,43SD38,50GH56,68SC50;620
62;14JA15,60UY37,11NR35,43NU73,78RA71,12ZD18,51OA19,31LV13,81ZX94,55XV51,30ME38,87JD12,40KU51,17TZ17,56EI52,48KO86,67YH42,15QQ39,76VQ73,79NT39,17LS30,79FM52,44RU14,56VW88;217
63;84VG75,27FC23,20UK54,88YN17,78TD86,22LY93,63TK94,87LG27,26OK90,87SX69,53BV38,74IS40,13YM56,15BF18,99HJ52,29SA57,63VV46,30TQ12,25FR66;139
64;62KE64,74KV55,49OO29,98LQ99,59JT28,69RL90,35VY54,26YP23,17NV46,25DO53,80JA23,68ZT95,37CC99,83AN44,20DB88,53JP19;897
65;96XV13,60YE54,23RO43,59QX64,51BX76,75TO80,99YK83,50AD87,37ZC33,34OA93,73NC26,11LG86,37NH94;592
66;86UO97,75VZ33,30PP56,82CE71,31WS73,77HZ44,37VJ13,29WB19,61TU71,22AO33,83AN46,64LP99,63ZB63,84ZH37,19DW18,97EI15,26QV45,46FC98,12WK63,28AS42,39NF59,43VO57,24AE59,33SC71,45XC28,43QA29,73IT61;761
67;18DK30,55NY62,55VS42,29AJ87,45LC21,75VZ34,82MB66,91RM15,27WD56,45NF35,92MU93,86IO90,93QU34,19UK41,57RC40,98VI27,47OD61;508
68;63HK91,57PE96,87UI12,89CH64,80KV34,87KQ87,24BZ68,96EB97,49PW33,65YR22,97EA79,14IS14,70NN21,81MK23,65BR89,52FC75,71FS23,92UO74,71WT52,22CE42;721
69;89EK79,81NX93,83VP37,19ZY71,40EY23,26IO61,31AD19,99QY45,42AI21,18YE82,82CE74,28GJ11,57XG15,98DR55;95
70;16EC14,94OI67,15VR68,23ZI28,72ND49,19OT78,66HH39,93GX43,77PG21,58BN65,42NI92,82ZR15,53SJ67,17AA37;441
71;53KC81,48IT19,76KG19,62LZ78,24YR66,22NW46,96HU52,18MR83,41RK70,73GQ52,57HF50,77FO97,91UX33,99MK81,49GH49;971
72;13TQ92,57YG80,43ZC15,98JI24,23CD28,31DO36,65BE86,78RI19,62XH11,69ZN16,74EE83,24SV32,53XK90,62ZK25,74RM91,64UR85,70PD32,83HE80,38MY76,68KQ19,50LI88,80GP10,88NN80,88MN18,60ES11;464
73;32AU60,88MA12,70NN26,59WO38,30FS69,27CR12,88ZI20,69NF71,82RX38,91SU21,48GI69,58SB90,84BM97,70QY40,14NT40,81EQ48,48AE96,92QV58,59ZI72;135
74;75AK46,26KZ18,14CO47,87IV17,20PW30,99BA21,23YF80,45UJ77,50DJ41,63PE77,84NH37,51FL37,42FW54,52GX88;93
75;30HI78,46BE17,61AI99,69ZA12,30OU51,60NZ63,58MS64,61TH73,87AG93,91HC22,84YZ39,59CU52,49RM47,44IX95,67KE33,31DO39;108
76;52XT50,12BD16,68LQ85,19ZL71,52TS91,79IS11,83DL63,18LE19,51EV94,96XA79,69XC68,49LQ13,72KS34,89DP72,44KV41;674
77;80KI36,88LX78,67ZP57,52XT51,81NS32,18WB76,46CR88,28AF46,47RW23,35LO66,93CJ84,53KK25,30SN74,54GI48,89AE59,97MU61;418
78;85AQ70,71CZ74,82PU29,32ZX12,47PL72,63MT60,16FX29,26CK97,97BC61,65ZR94,97SY35,56RD69,15RL48,87AG96,29FS57,54DP90,31YD23,75FL71,95PC50,43OX20,41VD98,70SO52,16OR71;239
79;43DS27,46OM29,15WM70,80AL44,48VB21,45UE13,51EV97,41JQ98,27NW12,84WW29,10YK57,21NK65,25YD49,68LD81,17GW74,12QB34,65WO19,83JP39,11IV79,50UK75,91KN40,45WH27;816
80;47PL74,92QI58,27ZB76,83FJ12,60EF12,68YY97,74LQ64,38IS56,96BD81,85NY80,54NU24,15XC16,29JT18,98UN26;403
81;63QM84,78GV89,61JS23,56UW24,80TX27,73EA41,84GV64,35HV49,68JV14,17IU21,70DD33,88HR54,82UV53,49UK60,71FF29,64SW18,23SJ52,27TF42,66GM36;42
82;48LE30,66GM37,41BR52,15PI38,67ZC55,28LK45,82SS40,86IY75,91KN43,79UF18,71QK24,19ZL77,63BB63,92ZX47,79XI94,33GC79,64SB74,12EG98;390
83;41WT41,65ZM30,81UW73,59CH53,18AZ25,71VY53,26LZ89,58AS64,56QV67,97GQ94,96GZ50,61RE67,59ME47,75FT14,75LP49,44GU89,80RM77;637
84;15UJ61,83FB78,67HL83,94EG18,15BK87,31TU63,40LP66,26XH22,39CA62,65KG78,70IR64,45TO73,69QQ96,71QC88,78GI85,62KR70,31XV22,68WI80,65RS51;82
85;23IM62,76GS60,97SL35,38PW96,99RT54,47BV64,23BI27,72HZ84,40FL94,73EA45,77YI16,43OP89,53HZ12,70KU79,30KG95,58PQ81,81JM12,56VW88,91QR19,93PE93,66XN69;573
86;59PP64,99IE68,40FT33,34HJ65,45IR19,16WL59,19VF53,94JU48,45ZF41,78QA12,12PT34,46TN57,14LD32,50ML33,90GV44,95KT92,54CC29,33VA98,26AP29,45JR81,27WQ61;368
87;26JJ72,99EL48,80WV40,91GU27,98XL40,12BV82,53VP29,20YY23,14LD33,71EX28,38CJ21,73AH26,54DK30,92VJ86,13NH65,88LS19,72EB65,86TG97,66EJ28;339
88;84ME99,14YL42,90AR73,88DD95,49WA74,30OH57,45VM22,54WW12,82QP32,94PD78,77IU59,13QS80;529
89;11CM47,91TP30,88WC70,53SW72,69EQ93,48UT24,12PT37,35MW78,57VV76,11FX61,80DJ61,39RL89,64CI52,82YJ13,34PD48,96GZ56,54QS40,84IL79,18OC39,66NQ79,74HK45,30VT31;20
90;39FT20,38PR32,11GF69,44OB69,95UL21,38CJ24,93DE90,38VN67,22CR50,89IY45,15MP87,48LE38,34UE70,43TY53,13FA81,74NB12,12DL92,94DQ79,99VU18,65EK49,83ET77,52PU15;791
91;25HH80,11TN78,98GK15,18XE21,74JA54,74NB13,44TX36,26NC97,36EW13,67HT28,77CQ89,91AD51,14MY44,35UD53,81DI45,88DL36,84OC47,68AY92,35KT66,52LG50,10ED74;345
92;49RZ50,44PW78,88YN25,18ZH36,73UT74,29EK50,16OE78,39FL84,65WT80,92VE22,93DZ37,62CX98,14SP11,85XD10;618
93;45YX41,17ZI55,11JQ86,70TJ60,97EA83,96WA13,93UN60,22TS82,62GL51,92WZ30,93CO52,34EY51,33TF29,75SO25,81HB68,60FF87;581
94;44PR11,80YL54,45PI55,67FI79,49NY93,63IN48,89ME63,63MG69,10TB92,89OP15,54XW80,82OM24;795
95;68KI83,89GV36,75RY82,45TB77,42KK89,97EI23,22JV90,55ZL70,68XQ91,81UJ78,62KE74,37RI62,54IY66,60FN27,57TS68,92TB11,35ZR85,15WH17,71VL58,87HN17,23TR66;45
96;49RZ54,10RT25,87HN18,58PL23,31PO47,66WS66,30XJ45,53HE78,74WI67,10DV72,85AL19,83KK49,64NN53,12ND23,17VC30,81KU23,51DN93;808
97;50TK10,53UM87,34GO62,27MG71,58QY93,62ZC91,40FG37,95GN75,33YG54,62AP20,14KN98,90AE75,45XC38,95SI14,19QJ91,39UR42,31RE55,38LY18,23XK89;705
98;73JB79,18TD69,38JN67,73IT72,23ZI35,16ZJ78,15NX95,64HJ82,46NE27,93DM36,84VO27,23MA27,22GF10,39MX63,35AR10,54VT70,43PS33,77RJ42,44RU29,18HD61,53SJ74,92UW21;473
99;39SO30,50YY40,20WI14,49AD83,60DK17,85FM43,30JL95,32PA25,89EK88,87EU62,94EL81,62VR10,73NC39,76NR40,38NG89,29AR36,39ST99,66SZ48;742
100;52HN38,96NY33,32DN25,35CM88,79JA21,89OC14,49NT30,83XF54,13SI99,13ES84,96HU60,35ME13,51FL42,63CR19;122
101;76WY91,60OP13,93WL13,86OS76,53BI48,67KR45,62VR12,73YH35,40PV90,22PZ69,96KA13,80QM12,66CY83,63TF42,72SZ25,79WN99,16AB65,84HY15;301
102;47TZ41,43AH15,19QR34,70PD41,38OW30,19OG82,73MU35,61IK23,75RL82,76AB97,96XI22,41XO53,90DP94,70TJ69,67FD18,32YH77,67QA74,51BS23;51
103;34VM83,26DA46,22CE56,65LJ28,31SM61,86WM58,14KI35,17HE84,91SM92,86KM50,32QA91,76FX64,64WP40;172
104;71WT67,14SC16,83WX51,54AR88,97BX11,43UT60,64HR26,32XZ72,48ZH53,45UJ86,93BJ28,10NF67,80IK97,50UX86,32DN29;932
105;46AO81,76JY25,46CR95,29WT92,81OA46,74CW26,62BP90,16DM83,84FN67,77XA15,78SQ31,14TX24,42ZD45,39FG28,13ZH70,71QX33,92WM35,82NJ83,34TW78;229
106;25QJ75,25SU27,65MR31,46KT14,95GI15,27AT79,57VD17,68VV26,47QB24,45QD60,22VD33,84NH48,91BL66,27PZ32,37TG18,60ZU12,81FY60,79QE62,33KQ48,47SE38,48HQ81,13KJ56;641
107;99OI41,31SM65,60CP11,35AR19,18JB15,33UA36,82XB10,95RN10,44KV51,70BF93,69XK16,89CC13,56HG83,73EN53,67QI17;184
108;49YQ94,75RT26,26XU32,72IP31,65OH40,29RF67,78UG41,73XZ35,80ZG61,55ZG14,87RP72,91OT76;345
109;51ZX94,26AP31,15DV43,50QR63,15BK91,71YJ79,99DD49,20GH57,25KN43,36TH39,47XS69,55DW20,80EZ19,23MS93,46CE92,74XY18;42
110;11WG35,18ES52,23SW67,58QL99,79ZT53,40CI22,71MR10,24FA34,57SX69,79AY44,26KM26,29JL89,46XT88,62VE14,61VS39,77FJ46;164
111;65YE37,13EN26,45SG79,26XM97,51IJ60,68HK71,49UX76,97FQ39,66QJ39,37WE30,54NU34,90HD55,48HQ86,26AP33,87RX13,75TB98,45ON58,26NX41,22QU72,79IS25,27LY78,10OV12,91CT71,32TT51;152
112;56PA68,34NN43,62VE16,93NO92,73IB10,43UG61,11EP63,52PZ85,28BN60,70DD43,16BR14,51MC82,71EP94,54UY70,85CT97,15XC27,76IV80,30CT42,61AD46,31UK15,86ON18,53HR80,26LZ97,97HG47,21BX76;587
113;81CA46,48DX67,64XX50,51KM76,34LP99,16WL65,58EL94,93AO23,81RL68,28PL14,55FM31,53PL61,31ZY44,40RG40,84OP55,92ZK50,84SI76,20XD21,51WH15,64EY76,82DM97,54JG70,74YY84,65CU44,46II69;811
114;15JE76,40LP75,38WD15,28TE36,16QH93,58XX76,52XT67,69YK85,59ES15,71MJ76,12IH68,98GP86,68NO47,85KN79,26PN51,11TN80,75LC52,99JZ82,40LX13,75JM45,51WH16,96FE53,27PE95,28NA63,21YP73,58BI19,70EY52;305
115;93PZ47,22LG48,19VF61,41SS93,11KG32,22SS21,13LR65,12HZ62,96DO47,52II46,23UU17,45OA55,50MY48,71EX35,58XK70,69FG43,82SS52,81HO76,37KJ95;493
116;93EH47,23IZ79,46NJ93,41BR65,83QG83,97BC78,15BK98,58YA16,77OD94,30WB44,61FE71,58ZV23,28RB24,96BD96;384
117;47PG21,28HE31,90MZ27,50JA29,37OK56,90ZZ97,47RB97,95OU61,93LT21,86GG36,29QX69,61JF31,37IG83,69WP12,81WM93,38GC51,72ZD62;108
118;38KQ18,97ZX20,70UM16,60JT57,52ZJ78,77QB41,77OL34,40TJ59,58MF79,78EF84,72GE89,17QB10,82YB83,31IC75,26CF47,60UY51,31OG48,74JA60,51ZK96;280
119;74NG89,72TU36,61UX34,41SF90,52NW78,45XP46,58VU67,94RB33,36UP49,69IR61,24CH84,75FG22,34NA43,48WJ40,97BK19,96YD32,26AC34,15UJ75,18TQ76,53LS46,85VS78;859
120;65XB94,60QX94,64CI62,49WI23,32PN32,45VE95,50DU20,69YF22,52AB64,95QK71,54NH36,20HC61;249
121;87RC78,82SS58,41SF92,28UM43,14WI40,10GO35,19RM46,23MN36,45XC41,61FM14,32JJ60,89MR76,80YY67,68KV95,69NA29,32XH13,22ZW62,55OG81,49WA86;891
122;71CH21,36IP44,67PA11,94QY98,52VD54,53RJ15,14IX95,77GE51,27AB19,88BI32,60LJ68,31EJ58,80LD53,45DV61,59NM65;274
123;85TP68,60OU83,43XZ24,88DL47,62KZ26,24AM12,29MR47,27WQ77,11XO48,66XI17,24BZ81,31JX87,41DH79,18ZH46,14KV41,91KA56,75QQ89,18IG17,98ZO69,89IL50;823
124;10JZ52,92JR32,80SU97,89ES30,15IR10,15XU94,48AZ50,72HU33,23TR74,98NO62,83IU49,81TJ56,75WH56,19DW34,97TT53,82DH39,31VS27,30PX10;498
125;22UI38,23TZ13,57TF70,73YU45,79TK26,23IU19,37RI71,97ZX27,16VQ63,60BU15,10XC61,97CS25,89MZ18,28UM47,80DJ76,72XA56,71PH94,98VI43,36QB89,46BR32,78JO50;969
126;40MX87,82BE27,51YP90,99PD53,36EJ20,43CC94,32TG59,46JL13,61SH20,64RG83,46OZ41,48WJ47,32RD45,24RN44,18NU48,55YL18,16XT78;73
127;40BN25,82OE98,66YI83,84AM47,13HL49,43XM21,96CT45,50CO59,54AR90,13OX22,46YO98,30XJ55,36AV69,44XD65,99YS41,63ZO89,11UV93,46FK55,57LY99;734
128;22NW61,99UZ21,47BD10,35QK48,43GD55,50ZG55,31LA92,98FU86,13ES91,77ZQ38,82CE91,11HN86,12LA20,98TS39,40OV34,99YS42,41EP84,31JS23,30RN21,29VT32,37HY87,62OF45,96XV34,96IK12;303
129;50TC83,66CY90,31UP80,17XF56,81VR91,61OG64,28VU51,45LC41,69BA29,41SA31,82CR99,82CE92,67WE53,45HO89,94OQ22,43NU98,78LR68,48SD22;378
130;12MN91,29EK67,48UG37,14GU89,71XJ17,81SG78,72RE26,70JM82,23HR72,63DR90,11UV96,71XB79,43AU29,89VT65,41ZZ12,36NQ73,99FG63,60DC89,62RQ61,16ZJ89,47BD12,77JP73;580
131;88ZV43,91RM37,28SJ39,42EB62,94ZN80,59FN25,20MD93,94CV85,19HC55,43VB73,33XY60,56MC59,95NZ61,14KI42,82VQ75,30HV99,59QX88,28OD11,79US32,89OC24;211
132;92ST20,74SC54,46DH46,63PE93,90HQ62,86FD99,72PB14,54GV68,59DK12,79HC87,62LZ97,95SI28,83ZQ17,62JW83,93MG91,54QF55;212
133;67OS15,20KN88,44HK42,45QQ73,23NV48,17FW24,13IT55,13SQ49,44FU35,60YM18,45FT17,30HI94,46QP55,98FP22,86OF80,18DK54,43VB75,59BM68,43YZ96,62NX43,30PX19,52QP30;471
134;14GH86,77DT42,27OE32,14EM10,69IE69,85UK72,40QL47,20AY33,48ZU69,55AL10,46WT29,24HD51,57RC65,67AU63;900
135;69VU16,11JL38,74VN71,63DZ33,19YD88,83DL80,56WZ50,56PN77,81VZ35,60OH88,21AC71,54QF58,32UO68,75JZ52,60XW75,88JU80,95AE50,78FI32,97OX91;207
136;49AL37,63DZ34,60AR74,13ES99,71NM29,12IU76,53OD63,15TW16,90JG73,60XW76,93IV12,95GI24,97XH17,52KL60,42NQ54,26CS51,51YC93,22TF97,49NT45,89BZ83,36ZL18,58IZ62,35XB84,77HM65,98RC26,53SR29,66WN16,76FX76,26TT80,97RB32;656
137;92IO93,78MZ76,56RD86,48EN15,72QW26,21XP13,45QD70,35BR90,94XK72,96VS29,12YA99,98MT61,14FZ82,95EF11,86ZX85,88JU82,91YQ78,72QO88,77BQ31,14XQ56,15XC31,69VU18,64FG86;462
